Airline,Origin,Dest,DepHour,flight_count
9E,ATL,BTR,11,100
9E,ATL,BTR,12,10
9E,ATL,BTR,13,45
9E,ATL,BTR,14,29
9E,ATL,BTR,15,24
9E,ATL,BTR,16,13
9E,ATL,BTR,17,63
9E,ATL,BTR,19,11
9E,ATL,BTR,21,61
9E,ATL,CAE,8,34
9E,ATL,CAE,9,174
9E,ATL,CAE,10,90
9E,ATL,CAE,11,63
9E,ATL,CAE,12,14
9E,ATL,CAE,13,116
9E,ATL,CAE,14,20
9E,ATL,CAE,15,52
9E,ATL,CAE,16,19
9E,ATL,CAE,19,49
9E,ATL,CAE,20,24
9E,ATL,CAE,22,42
9E,ATL,CHA,8,70
9E,ATL,CHA,9,76
9E,ATL,CHA,10,36
9E,ATL,CHA,11,176
9E,ATL,CHA,12,64
9E,ATL,CHA,13,82
9E,ATL,CHA,14,12
9E,ATL,CHA,15,205
9E,ATL,CHA,16,97
9E,ATL,CHA,17,122
9E,ATL,CHA,18,75
9E,ATL,CHA,19,44
9E,ATL,CHA,20,29
9E,ATL,CHA,22,31
9E,ATL,CHA,23,14
9E,ATL,CHO,9,279
9E,ATL,CHO,10,41
9E,ATL,CHO,11,29
9E,ATL,CHO,12,38
9E,ATL,CHO,13,31
9E,ATL,CHO,15,302
9E,ATL,CHO,16,22
9E,ATL,CHO,21,107
9E,ATL,CLT,7,13
9E,ATL,CLT,9,11
9E,ATL,CLT,15,23
9E,ATL,CLT,16,10
9E,ATL,CLT,17,13
9E,ATL,CRW,9,25
9E,ATL,CRW,10,31
9E,ATL,CRW,14,26
9E,ATL,CRW,17,39
9E,ATL,CRW,18,12
9E,ATL,CRW,21,37
9E,ATL,CSG,10,142
9E,ATL,CSG,11,51
9E,ATL,CSG,15,26
9E,ATL,CSG,16,141
9E,ATL,CSG,19,42
9E,ATL,CSG,20,130
9E,ATL,CSG,21,37
9E,ATL,DAY,9,98
9E,ATL,DAY,12,14
9E,ATL,DAY,14,11
9E,ATL,DAY,15,23
9E,ATL,DAY,17,13
9E,ATL,DHN,10,38
9E,ATL,DHN,12,52
9E,ATL,DHN,13,69
9E,ATL,DHN,15,124
9E,ATL,DHN,19,10
9E,ATL,DHN,20,101
9E,ATL,DHN,21,138
9E,ATL,ECP,14,23
9E,ATL,EVV,10,204
9E,ATL,EVV,11,27
9E,ATL,EVV,12,24
9E,ATL,EVV,15,48
9E,ATL,EVV,16,141
9E,ATL,EVV,19,25
9E,ATL,EVV,21,221
9E,ATL,EYW,13,16
9E,ATL,EYW,17,129
9E,ATL,FAY,8,24
9E,ATL,FAY,9,12
9E,ATL,FAY,11,21
9E,ATL,FAY,12,20
9E,ATL,FAY,13,90
9E,ATL,FAY,14,63
9E,ATL,FAY,16,67
9E,ATL,FAY,19,10
9E,ATL,FAY,21,32
9E,ATL,FAY,22,11
9E,ATL,FWA,9,47
9E,ATL,FWA,11,15
9E,ATL,FWA,14,46
9E,ATL,FWA,21,58
9E,ATL,GNV,8,19
9E,ATL,GNV,9,30
9E,ATL,GNV,10,10
9E,ATL,GNV,13,30
9E,ATL,GNV,17,21
9E,ATL,GPT,9,12
9E,ATL,GPT,10,15
9E,ATL,GPT,15,16
9E,ATL,GSO,11,10
9E,ATL,GSO,14,11
9E,ATL,GSO,15,19
9E,ATL,GSO,17,33
9E,ATL,GSP,13,31
9E,ATL,GSP,15,20
9E,ATL,GSP,18,18
9E,ATL,GTR,13,363
9E,ATL,GTR,19,23
9E,ATL,GTR,20,24
9E,ATL,GTR,21,294
9E,ATL,GTR,22,15
9E,ATL,HPN,7,224
9E,ATL,HPN,11,160
9E,ATL,HPN,12,22
9E,ATL,HPN,13,245
9E,ATL,HPN,15,252
9E,ATL,HSV,8,37
9E,ATL,HSV,10,27
9E,ATL,HSV,11,67
9E,ATL,HSV,12,34
9E,ATL,HSV,13,70
9E,ATL,HSV,14,26
9E,ATL,HSV,15,11
9E,ATL,HSV,16,49
9E,ATL,HSV,18,63
9E,ATL,HSV,20,32
9E,ATL,ICT,9,61
9E,ATL,ICT,11,19
9E,ATL,ICT,15,76
9E,ATL,ILM,9,250
9E,ATL,ILM,12,44
9E,ATL,ILM,15,226
9E,ATL,JAN,8,38
9E,ATL,JAN,9,61
9E,ATL,JAN,10,22
9E,ATL,JAN,11,12
9E,ATL,JAN,16,92
9E,ATL,JAN,19,15
9E,ATL,LEX,8,33
9E,ATL,LEX,9,43
9E,ATL,LEX,11,10
9E,ATL,LEX,13,36
9E,ATL,LEX,16,41
9E,ATL,LEX,20,12
9E,ATL,LEX,22,17
9E,ATL,LFT,9,55
9E,ATL,LFT,10,169
9E,ATL,LFT,11,130
9E,ATL,LFT,15,175
9E,ATL,LFT,16,26
9E,ATL,LFT,19,12
9E,ATL,LFT,21,211
9E,ATL,LIT,16,17
9E,ATL,LIT,17,36
9E,ATL,MDT,9,72
9E,ATL,MDT,11,35
9E,ATL,MDT,15,47
9E,ATL,MDT,21,66
9E,ATL,MGM,8,218
9E,ATL,MGM,12,218
9E,ATL,MGM,13,33
9E,ATL,MGM,14,59
9E,ATL,MGM,15,43
9E,ATL,MGM,17,144
9E,ATL,MGM,19,37
9E,ATL,MGM,21,39
9E,ATL,MGM,22,114
9E,ATL,MLI,15,359
9E,ATL,MLI,19,23
9E,ATL,MLI,21,309
9E,ATL,MLI,22,19
9E,ATL,MLU,10,37
9E,ATL,MLU,11,135
9E,ATL,MLU,14,12
9E,ATL,MLU,15,115
9E,ATL,MLU,16,174
9E,ATL,MLU,17,12
9E,ATL,MLU,19,290
9E,ATL,MLU,20,71
9E,ATL,MOB,8,176
9E,ATL,MOB,9,96
9E,ATL,MOB,10,16
9E,ATL,MOB,11,10
9E,ATL,MOB,12,89
9E,ATL,MOB,13,113
9E,ATL,MOB,15,10
9E,ATL,MOB,16,14
9E,ATL,MOB,17,121
9E,ATL,MOB,18,65
9E,ATL,MOB,22,45
9E,ATL,MSN,15,16
9E,ATL,MSN,20,11
9E,ATL,OAJ,9,84
9E,ATL,OAJ,11,230
9E,ATL,OAJ,12,22
9E,ATL,OAJ,16,72
9E,ATL,OAJ,17,11
9E,ATL,OAJ,21,111
9E,ATL,PNS,12,11
9E,ATL,RDU,19,12
9E,ATL,ROA,8,31
9E,ATL,ROA,9,285
9E,ATL,ROA,11,61
9E,ATL,ROA,12,10
9E,ATL,ROA,16,155
9E,ATL,ROA,17,58
9E,ATL,SGF,9,73
9E,ATL,SGF,10,139
9E,ATL,SGF,11,24
9E,ATL,SGF,14,29
9E,ATL,SGF,15,101
9E,ATL,SGF,17,103
9E,ATL,SGF,20,23
9E,ATL,SGF,21,125
9E,ATL,SHV,8,24
9E,ATL,SHV,9,293
9E,ATL,SHV,12,85
9E,ATL,SHV,13,154
9E,ATL,SHV,14,14
9E,ATL,SHV,17,214
9E,ATL,SHV,19,30
9E,ATL,SHV,20,55
9E,ATL,SHV,21,101
9E,ATL,SHV,22,165
9E,ATL,TLH,8,176
9E,ATL,TLH,10,21
9E,ATL,TLH,11,16
9E,ATL,TLH,12,180
9E,ATL,TLH,15,32
9E,ATL,TLH,16,48
9E,ATL,TLH,17,75
9E,ATL,TLH,18,51
9E,ATL,TRI,8,132
9E,ATL,TRI,9,181
9E,ATL,TRI,11,44
9E,ATL,TRI,12,121
9E,ATL,TRI,13,138
9E,ATL,TRI,14,22
9E,ATL,TRI,16,53
9E,ATL,TRI,17,219
9E,ATL,TRI,21,204
9E,ATL,TUL,8,71
9E,ATL,TUL,11,27
9E,ATL,TUL,13,22
9E,ATL,TUL,15,30
9E,ATL,TYS,8,82
9E,ATL,TYS,9,36
9E,ATL,TYS,10,14
9E,ATL,TYS,11,48
9E,ATL,TYS,12,177
9E,ATL,TYS,13,81
9E,ATL,TYS,14,12
9E,ATL,TYS,15,11
9E,ATL,TYS,16,28
9E,ATL,TYS,17,50
9E,ATL,TYS,18,212
9E,ATL,TYS,19,155
9E,ATL,TYS,20,226
9E,ATL,TYS,21,64
9E,ATL,VLD,11,57
9E,ATL,VLD,12,136
9E,ATL,VLD,13,150
9E,ATL,VLD,15,33
9E,ATL,VLD,19,187
9E,ATL,VLD,20,132
9E,ATL,VPS,13,15
9E,ATL,XNA,8,196
9E,ATL,XNA,9,19
9E,ATL,XNA,10,53
9E,ATL,XNA,11,144
9E,ATL,XNA,13,42
9E,ATL,XNA,14,151
9E,ATL,XNA,15,50
9E,ATL,XNA,16,10
9E,ATL,XNA,17,208
9E,ATL,XNA,20,82
9E,ATL,XNA,21,39
9E,ATL,XNA,22,157
9E,ATW,MSP,6,31
9E,ATW,MSP,7,15
9E,ATW,MSP,12,67
9E,ATW,MSP,16,33
9E,AUS,CVG,9,77
9E,AUS,CVG,10,60
9E,AUS,CVG,11,25
9E,AUS,CVG,19,59
9E,AUS,RDU,10,65
9E,AUS,RDU,11,36
9E,AUS,RDU,17,22
9E,AUS,RDU,19,11
9E,AVL,ATL,7,12
9E,AVL,ATL,9,13
9E,AVL,ATL,11,10
9E,AVL,ATL,13,13
9E,AVL,ATL,15,13
9E,AVL,ATL,17,13
9E,AVL,LGA,11,230
9E,AVL,LGA,12,106
9E,AVL,LGA,14,18
9E,AVL,LGA,15,36
9E,AVL,LGA,16,124
9E,AVL,LGA,17,51
9E,BDL,DTW,13,43
9E,BDL,DTW,18,72
9E,BDL,LGA,5,106
9E,BDL,LGA,6,10
9E,BDL,LGA,7,18
9E,BDL,LGA,9,61
9E,BDL,LGA,10,24
9E,BGM,DTW,5,58
9E,BGM,DTW,6,84
9E,BGM,DTW,7,87
9E,BGM,DTW,12,13
9E,BGM,DTW,13,62
9E,BGM,DTW,14,37
9E,BGR,JFK,5,63
9E,BGR,JFK,7,215
9E,BGR,JFK,14,13
9E,BGR,JFK,15,40
9E,BGR,LGA,6,290
9E,BGR,LGA,7,40
9E,BGR,LGA,12,239
9E,BGR,LGA,13,49
9E,BGR,LGA,14,18
9E,BGR,LGA,15,21
9E,BGR,LGA,16,170
9E,BGR,LGA,17,20
9E,BHM,ATL,8,12
9E,BHM,ATL,9,17
9E,BHM,DTW,6,30
9E,BHM,DTW,17,91
9E,BHM,LGA,6,247
9E,BHM,LGA,7,15
9E,BHM,LGA,10,44
9E,BHM,LGA,11,284
9E,BHM,LGA,12,10
9E,BHM,LGA,16,49
9E,BHM,LGA,17,224
9E,BIS,MSP,15,10
9E,BMI,ATL,6,361
9E,BMI,ATL,15,224
9E,BMI,ATL,16,132
9E,BNA,JFK,18,119
9E,BNA,JFK,19,24
9E,BNA,LGA,9,57
9E,BNA,LGA,13,64
9E,BNA,LGA,16,114
9E,BNA,LGA,17,70
9E,BNA,LGA,19,140
9E,BNA,RDU,8,250
9E,BNA,RDU,9,18
9E,BNA,RDU,17,117
9E,BNA,RDU,18,119
9E,BNA,RDU,19,18
9E,BQK,ATL,7,48
9E,BQK,ATL,13,41
9E,BQK,ATL,18,36
9E,BTR,ATL,6,80
9E,BTR,ATL,9,23
9E,BTR,ATL,10,99
9E,BTR,ATL,12,104
9E,BTR,ATL,14,17
9E,BTR,ATL,15,62
9E,BTR,ATL,17,37
9E,BTR,ATL,18,21
9E,BTR,ATL,19,43
9E,BTV,DTW,5,84
9E,BTV,DTW,13,50
9E,BTV,DTW,17,69
9E,BTV,DTW,18,31
9E,BTV,JFK,5,277
9E,BTV,JFK,8,59
9E,BTV,JFK,11,79
9E,BTV,JFK,12,234
9E,BTV,JFK,13,31
9E,BTV,LGA,6,200
9E,BTV,LGA,7,54
9E,BTV,LGA,8,13
9E,BTV,LGA,11,176
9E,BTV,LGA,12,65
9E,BTV,LGA,13,29
9E,BTV,LGA,16,127
9E,BTV,LGA,17,131
9E,BUF,DTW,9,59
9E,BUF,DTW,10,50
9E,BUF,DTW,11,18
9E,BUF,DTW,14,26
9E,BUF,DTW,17,22
9E,BUF,DTW,18,28
9E,BUF,JFK,6,13
9E,BUF,JFK,7,77
9E,BUF,JFK,9,59
9E,BUF,JFK,10,88
9E,BUF,JFK,11,167
9E,BUF,JFK,14,61
9E,BUF,JFK,15,151
9E,BUF,JFK,16,38
9E,BUF,JFK,18,87
9E,BUF,JFK,19,38
9E,BUF,JFK,20,15
9E,BUF,LGA,5,20
9E,BUF,LGA,6,133
9E,BUF,LGA,7,26
9E,BUF,LGA,8,11
9E,BUF,LGA,10,235
9E,BUF,LGA,11,21
9E,BUF,LGA,13,35
9E,BUF,LGA,14,72
9E,BUF,LGA,15,74
9E,BUF,LGA,18,168
9E,BUF,LGA,19,55
9E,BWI,JFK,6,250
9E,BWI,JFK,17,222
9E,CAE,ATL,6,42
9E,CAE,ATL,8,77
9E,CAE,ATL,10,118
9E,CAE,ATL,11,149
9E,CAE,ATL,12,68
9E,CAE,ATL,13,28
9E,CAE,ATL,14,57
9E,CAE,ATL,15,82
9E,CAE,ATL,17,54
9E,CAE,ATL,18,21
9E,CAE,LGA,6,260
9E,CAE,LGA,9,11
9E,CAE,LGA,10,10
9E,CAE,LGA,14,16
9E,CAE,LGA,15,71
9E,CAE,LGA,16,72
9E,CAE,LGA,17,54
9E,CHA,ATL,5,44
9E,CHA,ATL,6,11
9E,CHA,ATL,7,68
9E,CHA,ATL,10,112
9E,CHA,ATL,11,41
9E,CHA,ATL,12,116
9E,CHA,ATL,13,153
9E,CHA,ATL,15,85
9E,CHA,ATL,16,103
9E,CHA,ATL,17,122
9E,CHA,ATL,18,189
9E,CHA,ATL,19,58
9E,CHA,ATL,20,33
9E,CHA,DTW,11,38
9E,CHA,DTW,17,157
9E,CHA,DTW,18,99
9E,CHA,DTW,19,26
9E,CHA,LGA,7,54
9E,CHO,ATL,6,114
9E,CHO,ATL,11,184
9E,CHO,ATL,12,139
9E,CHO,ATL,13,14
9E,CHO,ATL,14,51
9E,CHO,ATL,15,31
9E,CHO,ATL,17,116
9E,CHO,ATL,18,198
9E,CHO,LGA,6,164
9E,CHO,LGA,7,114
9E,CHO,LGA,8,11
9E,CHO,LGA,11,77
9E,CHO,LGA,12,225
9E,CHO,LGA,17,273
9E,CHS,DTW,5,71
9E,CHS,DTW,7,35
9E,CHS,DTW,13,97
9E,CHS,DTW,16,17
9E,CHS,DTW,17,40
9E,CHS,JFK,7,317
9E,CHS,JFK,10,15
9E,CHS,JFK,11,327
9E,CHS,JFK,16,17
9E,CHS,JFK,17,173
9E,CHS,JFK,18,72
9E,CHS,LGA,6,127
9E,CHS,LGA,7,34
9E,CHS,LGA,8,15
9E,CHS,LGA,10,168
9E,CHS,LGA,11,11
9E,CHS,LGA,14,128
9E,CHS,LGA,17,76
9E,CHS,LGA,18,69
9E,CHS,LGA,19,51
9E,CHS,MSP,15,13
9E,CID,MSP,7,54
9E,CID,MSP,12,24
9E,CID,MSP,16,56
9E,CLE,DTW,6,24
9E,CLE,DTW,7,62
9E,CLE,DTW,10,164
9E,CLE,DTW,11,27
9E,CLE,DTW,13,12
9E,CLE,DTW,14,24
9E,CLE,DTW,17,12
9E,CLE,DTW,18,81
9E,CLE,DTW,19,110
9E,CLE,JFK,6,89
9E,CLE,JFK,11,251
9E,CLE,JFK,12,79
9E,CLE,JFK,17,88
9E,CLE,JFK,18,133
9E,CLE,LGA,6,62
9E,CLE,LGA,8,30
9E,CLE,LGA,9,105
9E,CLE,LGA,11,57
9E,CLE,LGA,12,175
9E,CLE,LGA,13,74
9E,CLE,LGA,14,13
9E,CLE,LGA,15,162
9E,CLE,LGA,19,209
9E,CLE,LGA,20,75
9E,CLE,MSP,6,33
9E,CLE,MSP,10,28
9E,CLE,MSP,11,41
9E,CLE,MSP,12,65
9E,CLE,MSP,16,61
9E,CLE,MSP,19,30
9E,CLT,ATL,9,10
9E,CLT,ATL,11,11
9E,CLT,ATL,17,19
9E,CLT,ATL,18,10
9E,CLT,ATL,19,13
9E,CLT,DTW,9,66
9E,CLT,DTW,12,16
9E,CLT,DTW,13,16
9E,CLT,DTW,17,18
9E,CLT,DTW,20,26
9E,CLT,JFK,6,223
9E,CLT,JFK,10,203
9E,CLT,JFK,11,71
9E,CLT,JFK,13,188
9E,CLT,JFK,14,56
9E,CLT,JFK,16,337
9E,CLT,JFK,19,199
9E,CLT,JFK,20,41
9E,CLT,LGA,7,238
9E,CLT,LGA,8,27
9E,CLT,LGA,9,215
9E,CLT,LGA,11,189
9E,CLT,LGA,12,10
9E,CLT,LGA,13,54
9E,CLT,LGA,14,158
9E,CLT,LGA,15,17
9E,CLT,LGA,16,50
9E,CLT,LGA,17,278
9E,CLT,LGA,19,176
9E,CLT,LGA,20,23
9E,CMH,DTW,13,20
9E,CMH,DTW,17,12
9E,CMH,LGA,14,16
9E,CMH,MSP,6,12
9E,CMH,MSP,10,29
9E,CMH,MSP,12,26
9E,CMH,MSP,13,25
9E,CMH,MSP,16,73
9E,CRW,ATL,6,38
9E,CRW,ATL,11,26
9E,CRW,ATL,12,31
9E,CRW,ATL,17,29
9E,CRW,ATL,19,39
9E,CRW,ATL,20,12
9E,CSG,ATL,6,203
9E,CSG,ATL,11,104
9E,CSG,ATL,12,52
9E,CSG,ATL,14,43
9E,CSG,ATL,17,79
9E,CSG,ATL,18,87
9E,CVG,AUS,7,78
9E,CVG,AUS,8,81
9E,CVG,AUS,15,38
9E,CVG,AUS,17,20
9E,CVG,DCA,7,336
9E,CVG,DCA,13,215
9E,CVG,DCA,14,126
9E,CVG,DCA,17,290
9E,CVG,DTW,6,268
9E,CVG,DTW,10,276
9E,CVG,DTW,11,47
9E,CVG,DTW,13,201
9E,CVG,DTW,14,80
9E,CVG,DTW,17,189
9E,CVG,DTW,18,139
9E,CVG,DTW,19,30
9E,CVG,EWR,7,201
9E,CVG,EWR,8,44
9E,CVG,EWR,12,224
9E,CVG,EWR,13,38
9E,CVG,EWR,16,167
9E,CVG,EWR,17,101
9E,CVG,JFK,7,149
9E,CVG,JFK,8,205
9E,CVG,JFK,11,187
9E,CVG,JFK,12,118
9E,CVG,JFK,16,59
9E,CVG,JFK,17,109
9E,CVG,JFK,18,162
9E,CVG,LGA,6,258
9E,CVG,LGA,7,24
9E,CVG,LGA,8,323
9E,CVG,LGA,9,13
9E,CVG,LGA,10,254
9E,CVG,LGA,11,25
9E,CVG,LGA,14,272
9E,CVG,LGA,15,21
9E,CVG,LGA,16,20
9E,CVG,LGA,17,122
9E,CVG,LGA,18,168
9E,CVG,MSP,6,39
9E,CVG,MSP,9,31
9E,CVG,MSP,10,58
9E,CVG,MSP,11,58
9E,CVG,MSP,12,78
9E,CVG,MSP,13,26
9E,CVG,MSP,16,182
9E,CVG,MSP,17,33
9E,CVG,MSP,18,39
9E,CVG,RDU,18,74
9E,CVG,RDU,19,58
9E,CVG,RDU,20,19
9E,CWA,MSP,6,94
9E,CWA,MSP,7,271
9E,CWA,MSP,14,179
9E,CWA,MSP,15,19
9E,CWA,MSP,16,162
9E,DAY,ATL,6,12
9E,DAY,ATL,9,10
9E,DAY,ATL,10,19
9E,DAY,ATL,11,79
9E,DAY,ATL,12,20
9E,DAY,ATL,14,14
9E,DAY,ATL,16,12
9E,DAY,ATL,19,16
9E,DAY,LGA,7,255
9E,DAY,LGA,9,15
9E,DAY,LGA,10,12
9E,DCA,CVG,9,50
9E,DCA,CVG,10,290
9E,DCA,CVG,16,341
9E,DCA,CVG,19,181
9E,DCA,CVG,20,59
9E,DCA,CVG,21,20
9E,DCA,CVG,22,31
9E,DCA,DTW,6,37
9E,DCA,JFK,12,24
9E,DCA,RDU,7,54
9E,DCA,RDU,8,274
9E,DCA,RDU,9,14
9E,DCA,RDU,16,25
9E,DCA,RDU,17,266
9E,DCA,RDU,21,117
9E,DCA,RDU,22,157
9E,DHN,ATL,6,247
9E,DHN,ATL,11,37
9E,DHN,ATL,13,52
9E,DHN,ATL,14,69
9E,DHN,ATL,16,124
9E,DLH,MSP,5,29
9E,DLH,MSP,10,53
9E,DLH,MSP,17,100
9E,DSM,DTW,6,361
9E,DSM,DTW,10,169
9E,DSM,DTW,12,107
9E,DSM,DTW,16,17
9E,DSM,DTW,17,267
9E,DSM,LGA,7,250
9E,DSM,LGA,9,15
9E,DSM,LGA,11,18
9E,DSM,LGA,12,79
9E,DSM,LGA,13,100
9E,DSM,LGA,14,126
9E,DSM,MSP,6,102
9E,DSM,MSP,7,251
9E,DSM,MSP,10,27
9E,DSM,MSP,11,138
9E,DSM,MSP,12,123
9E,DSM,MSP,16,114
9E,DSM,MSP,17,215
9E,DSM,MSP,18,23
9E,DTW,ALB,10,246
9E,DTW,ALB,14,32
9E,DTW,ALB,15,94
9E,DTW,ALB,16,29
9E,DTW,ALB,21,30
9E,DTW,BDL,10,43
9E,DTW,BDL,15,72
9E,DTW,BGM,10,12
9E,DTW,BGM,11,62
9E,DTW,BGM,12,38
9E,DTW,BGM,16,16
9E,DTW,BGM,18,73
9E,DTW,BGM,21,138
9E,DTW,BHM,15,47
9E,DTW,BHM,16,52
9E,DTW,BHM,20,20
9E,DTW,BTV,10,59
9E,DTW,BTV,14,71
9E,DTW,BTV,15,31
9E,DTW,BTV,20,51
9E,DTW,BTV,21,32
9E,DTW,BUF,7,82
9E,DTW,BUF,8,26
9E,DTW,BUF,10,23
9E,DTW,BUF,12,26
9E,DTW,BUF,15,44
9E,DTW,CHA,8,38
9E,DTW,CHA,13,42
9E,DTW,CHA,14,116
9E,DTW,CHA,15,28
9E,DTW,CHA,16,97
9E,DTW,CHS,10,97
9E,DTW,CHS,14,57
9E,DTW,CHS,16,12
9E,DTW,CHS,19,24
9E,DTW,CHS,21,69
9E,DTW,CLE,8,144
9E,DTW,CLE,10,66
9E,DTW,CLE,12,24
9E,DTW,CLE,16,80
9E,DTW,CLE,18,83
9E,DTW,CLE,19,31
9E,DTW,CLE,21,53
9E,DTW,CLE,22,28
9E,DTW,CLT,7,57
9E,DTW,CLT,8,17
9E,DTW,CLT,10,32
9E,DTW,CLT,14,14
9E,DTW,CLT,17,26
9E,DTW,CMH,12,24
9E,DTW,CMH,16,14
9E,DTW,CVG,8,263
9E,DTW,CVG,10,97
9E,DTW,CVG,12,255
9E,DTW,CVG,15,119
9E,DTW,CVG,16,200
9E,DTW,CVG,20,12
9E,DTW,CVG,21,281
9E,DTW,DCA,21,37
9E,DTW,DSM,8,246
9E,DTW,DSM,10,44
9E,DTW,DSM,12,29
9E,DTW,DSM,13,17
9E,DTW,DSM,15,30
9E,DTW,DSM,16,272
9E,DTW,DSM,19,158
9E,DTW,DSM,20,120
9E,DTW,GRR,12,15
9E,DTW,GRR,16,21
9E,DTW,GSO,10,11
9E,DTW,GSO,12,80
9E,DTW,GSO,13,59
9E,DTW,GSO,16,43
9E,DTW,GSO,19,17
9E,DTW,GSO,20,43
9E,DTW,GSO,21,218
9E,DTW,GSP,10,116
9E,DTW,GSP,12,17
9E,DTW,GSP,15,102
9E,DTW,GSP,16,18
9E,DTW,GSP,19,38
9E,DTW,GSP,20,11
9E,DTW,GSP,22,27
9E,DTW,HPN,21,32
9E,DTW,HSV,10,97
9E,DTW,HSV,12,47
9E,DTW,IAD,10,101
9E,DTW,IAD,14,18
9E,DTW,IAD,16,37
9E,DTW,IND,8,150
9E,DTW,IND,10,20
9E,DTW,IND,12,160
9E,DTW,IND,14,16
9E,DTW,IND,15,127
9E,DTW,IND,17,32
9E,DTW,IND,21,11
9E,DTW,JFK,7,341
9E,DTW,JFK,10,263
9E,DTW,JFK,15,31
9E,DTW,JFK,16,86
9E,DTW,JFK,20,12
9E,DTW,JFK,21,25
9E,DTW,LAN,10,46
9E,DTW,LAN,11,29
9E,DTW,LAN,15,44
9E,DTW,MBS,10,28
9E,DTW,MBS,16,40
9E,DTW,MBS,21,28
9E,DTW,MCI,12,27
9E,DTW,MDT,16,55
9E,DTW,MEM,8,156
9E,DTW,MEM,10,24
9E,DTW,MEM,15,21
9E,DTW,MEM,16,36
9E,DTW,MEM,19,30
9E,DTW,MQT,12,64
9E,DTW,MQT,16,48
9E,DTW,MSN,8,86
9E,DTW,MSN,17,20
9E,DTW,OMA,8,58
9E,DTW,ORF,10,191
9E,DTW,ORF,13,20
9E,DTW,ORF,14,67
9E,DTW,ORF,16,19
9E,DTW,ORF,20,22
9E,DTW,ORF,21,220
9E,DTW,PHL,7,63
9E,DTW,PHL,8,10
9E,DTW,PHL,10,16
9E,DTW,PHL,12,17
9E,DTW,PHL,13,36
9E,DTW,PIT,8,19
9E,DTW,PIT,10,63
9E,DTW,PIT,12,70
9E,DTW,PIT,16,149
9E,DTW,PIT,17,76
9E,DTW,PVD,10,57
9E,DTW,PVD,14,49
9E,DTW,PVD,15,100
9E,DTW,PVD,21,111
9E,DTW,PWM,10,30
9E,DTW,PWM,21,48
9E,DTW,RDU,12,29
9E,DTW,RDU,21,14
9E,DTW,RIC,10,103
9E,DTW,RIC,15,111
9E,DTW,RIC,21,54
9E,DTW,ROC,10,324
9E,DTW,ROC,11,17
9E,DTW,ROC,15,41
9E,DTW,ROC,16,274
9E,DTW,ROC,21,196
9E,DTW,SDF,8,14
9E,DTW,SDF,10,14
9E,DTW,SDF,21,32
9E,DTW,STL,12,50
9E,DTW,STL,16,33
9E,DTW,SYR,7,20
9E,DTW,SYR,10,188
9E,DTW,SYR,15,63
9E,DTW,SYR,16,94
9E,DTW,SYR,21,147
9E,DTW,TVC,8,60
